#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
6.0%,30000000,-59029.60164922528,47597.30662881583,-11432.295020409452,308.83069414066495,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
7.0%,35000000,-58999.09051984601,47676.982277246076,-11322.108242599934,309.3476621700266,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
8.0%,40000000,-59142.94429343991,47467.60785016627,-11675.336443273642,307.9891556865691,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
9.0%,45000000,-58554.08198064618,47386.737600359134,-11167.344380287046,307.46443659735604,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
10.0%,50000000,-58362.89712327771,47789.91090030642,-10572.986222971289,310.080389030394,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
11.0%,55000000,-59397.570368707704,47952.53752015019,-11445.032848557516,311.13557671745724,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
12.0%,60000000,-58972.15676969342,47556.04902265337,-11416.107747040049,308.5629980029591,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
13.0%,65000000,-58506.791746080446,47822.43994922796,-10684.351796852483,310.29145073681616,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
14.0%,70000000,-58351.4727200871,47364.702152255166,-10986.770567831933,307.3214616431907,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
15.0%,75000000,-59671.86761659436,47213.864390140865,-12458.003226453497,306.3427648623064,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
16.0%,80000000,-59454.554490030336,47838.35832609469,-11616.196163935645,310.39473564357945,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
17.0%,85000000,-59123.22078222089,47707.72289742541,-11415.497884795477,309.5471198230054,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
18.0%,90000000,-59203.37236207776,48104.82121595973,-11098.551146118029,312.12365530454883,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
19.0%,95000000,-59616.63358873181,47946.268104949966,-11670.365483781847,311.0948982004302,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
20.0%,100000000,-59793.52498239331,47860.67060523899,-11932.854377154319,310.53950679018516,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
21.0%,105000000,-59031.254356563615,48291.281897118315,-10739.9724594453,313.33348808019764,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
22.0%,110000000,-59714.52049630933,47819.45693993685,-11895.063556372479,310.2720957586618,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
23.0%,115000000,-59165.57646316342,47449.80433901097,-11715.772124152456,307.8736392614253,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
24.0%,120000000,-59976.69664758496,48141.580434973526,-11835.116212611436,312.36216407590916,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
25.0%,125000000,-59786.169154108095,47768.19701706222,-12017.972137045872,309.93950051989293,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
26.0%,130000000,-59899.94094747357,48012.32866588037,-11887.612281593203,311.5235260017165,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
27.0%,135000000,-60123.04449361615,47443.950491341995,-12679.094002274156,307.83565711564756,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
28.0%,140000000,-60311.97353357129,48534.507241040934,-11777.466292530356,314.9116330870571,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
29.0%,145000000,-60141.04783672147,47610.50266420597,-12530.5451725155,308.91631538812806,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
30.0%,150000000,-59833.833038271,48000.166062379605,-11833.666975891392,311.44461008088524,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
31.0%,155000000,-60096.46512502484,47224.31266707927,-12872.152457945573,306.4105575347915,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
32.0%,160000000,-59911.783158243226,47822.05434197793,-12089.728816265299,310.288948760063,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
33.0%,165000000,-60455.21771138959,48304.906091675744,-12150.311619713844,313.4218873985685,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
34.0%,170000000,-60151.38223165326,47616.63375898334,-12534.748472669919,308.956096425965,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
35.0%,175000000,-60560.021357477235,48009.309501349926,-12550.71185612731,311.5039364336568,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
36.0%,180000000,-60555.59339278989,47721.367799510714,-12834.225593279174,309.6356535002437,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
37.0%,185000000,-60760.59068197064,48599.268216117285,-12161.322465853358,315.3318286464829,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
38.0%,190000000,-60546.92515367322,48600.27294290578,-11946.65221076744,315.3383477227393,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
39.0%,195000000,-59952.8982152348,47827.61922069499,-12125.27899453981,310.3250559576909,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
40.0%,200000000,-59245.64212507062,48757.506121041486,-10488.136004029133,316.3585405652518,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
41.0%,205000000,-59461.13822740369,47650.45160210412,-11810.686625299568,309.1755203535997,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
42.0%,210000000,-59398.38294977002,48234.90280476771,-11163.480145002308,312.96767758672917,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
43.0%,215000000,-58884.545895517396,47166.402301260736,-11718.14359425666,306.03481151594326,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
44.0%,220000000,-59505.32132715039,48096.67277907813,-11408.648548072262,312.07078493022425,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
45.0%,225000000,-59924.079573572206,48218.12218382023,-11705.957389751973,312.8587980894976,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
46.0%,230000000,-59395.63145536237,48142.98996099562,-11252.641494366748,312.37130965431777,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
47.0%,235000000,-59590.92214101605,47647.797855312005,-11943.124285704049,309.15830176452545,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
48.0%,240000000,-60199.70675939374,47984.65913810104,-12215.047621292702,311.34399484594593,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
49.0%,245000000,-60053.93204015546,47926.18248904566,-12127.749551109795,310.9645745510199,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
50.0%,250000000,-60627.26711648755,48233.49182933569,-12393.77528715186,312.9585226039591,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
51.0%,255000000,-60226.74815887265,48130.27966187429,-12096.468496998365,312.288840061427,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
52.0%,260000000,-60597.423703134584,48136.483971335925,-12460.939731798659,312.32909614592865,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
53.0%,265000000,-60648.05323118024,47712.3713932543,-12935.681837925935,309.5772811555519,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
54.0%,270000000,-60502.49171537213,47881.39477735339,-12621.096938018745,310.67397365213367,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
55.0%,275000000,-60235.030757368135,47641.351917331805,-12593.67884003633,309.1164778958697,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
56.0%,280000000,-60176.86628907971,47990.84905038378,-12186.017238695931,311.3841575156923,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
57.0%,285000000,-60732.99401754193,47496.127517774934,-13236.866499766998,308.17420289549904,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
58.0%,290000000,-59335.03252500348,48029.95658205368,-11305.0759429498,311.63790309516236,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
59.0%,295000000,-59848.73684781842,47637.623866663664,-12211.112981154758,309.0922887860822,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
60.0%,300000000,-59382.28150695615,47710.60614438378,-11671.675362572365,309.5658275025487,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
61.0%,305000000,-59639.437883317994,47638.07029807457,-12001.367585243424,309.0951854147421,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
62.0%,310000000,-59719.72311109357,47863.59952692932,-11856.123584164248,310.5585108259757,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
63.0%,315000000,-59717.44509977155,47658.70898527838,-12058.736114493164,309.2290976158045,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
64.0%,320000000,-59661.24339574628,47370.10400660313,-12291.13938914315,307.3565110723724,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
65.0%,325000000,-59363.020853937196,47682.1670649891,-11680.853788948094,309.3813031827448,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
66.0%,330000000,-59286.44915336423,48574.39119441237,-10712.05795895186,315.17041640647534,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
67.0%,335000000,-59890.717785776185,48324.786661865364,-11565.931123910821,313.5508806279429,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
68.0%,340000000,-59297.25966447644,47697.3918481241,-11599.867816352344,309.4800877711331,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
69.0%,345000000,-59874.74045079999,47838.16954746394,-12036.570903336047,310.39351077100366,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
70.0%,350000000,-60080.41539853864,47654.01256032754,-12426.4028382111,309.1986252996111,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
71.0%,355000000,-59741.540358484315,47735.10694459104,-12006.433413893275,309.7247986643839,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
72.0%,360000000,-59736.99143213086,48020.247080967296,-11716.744351163565,311.5749039010346,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
73.0%,365000000,-59630.1462325459,47585.404570042156,-12044.741662503744,308.75346874004634,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
74.0%,370000000,-59639.815384805726,46777.01954223309,-12862.79584257264,303.5083377241655,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
75.0%,375000000,-59832.143016756105,48143.35630270885,-11688.786714047252,312.37368662842835,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
76.0%,380000000,-59087.898459852266,47411.15270540002,-11676.745754452248,307.6228517340799,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
77.0%,385000000,-59809.86820977979,48309.008455925854,-11500.859753853932,313.44850520719496,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
78.0%,390000000,-60161.07410425,47823.94747573952,-12337.12662851048,310.3012321822796,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
79.0%,395000000,-59566.49034112744,48028.90478038648,-11537.585560740961,311.6310785779368,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
80.0%,400000000,-59274.948128641176,47829.72637998313,-11445.221748658048,310.3387280646169,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
81.0%,405000000,-59223.07803815656,47676.16804317664,-11546.909994979913,309.3423790880485,5591.24383331643,0.03172428601938044,0,--
